,predict,p0,p1,Customer_Age,Gender,Dependent_count,Education_Level,Marital_Status,Income_Category,Card_Category,Months_on_book,Total_Revolving_Bal,Total_Trans_Amt,Total_Trans_Ct,churn,log_Credit_Limit,log_Avg_Open_To_Buy,log_Total_Trans_Amt,log_Avg_Utilization_Ratio,has_revolving_balance,joined_during_campaign,relationship_bin,inactivity_level,contact_level,txn_band,Avg_Utilization_Ratio
29,0,0.9882084079383068,0.0117915920616931,47,M,4,High School,Married,$40K - $60K,Blue,42,1362,1045,38,0,8.47345026846832,8.138564737261632,6.952728644624869,0.2507587183471831,1,0,high,0,0,low,0.285
30,0,0.9500176595251668,0.049982340474833,53,M,3,Unknown,Married,$80K - $120K,Blue,33,1811,1038,25,0,7.9208096792886,6.849066282633458,6.946013991099227,0.5056120567131033,1,0,medium,1,2,low,0.658
31,0,0.7621122707670219,0.2378877292329781,53,M,2,Uneducated,Married,$60K - $80K,Blue,48,1690,1596,26,0,7.804659297056102,6.635946555686647,7.3758821482150125,0.5247285289349821,1,0,low,2,1,low,0.69
32,0,0.921158771893736,0.078841228106264,41,M,4,Graduate,Married,$60K - $80K,Blue,36,2517,1589,24,0,9.096499555552423,8.765146421639022,7.371489295214277,0.2484213584984782,1,1,high,1,2,low,0.282
33,0,0.9942918523551054,0.0057081476448945,53,F,2,College,Married,Less than $40K,Blue,38,1490,1411,28,0,7.8826922062890254,7.057036981697891,7.252762418053187,0.4459670514174942,1,0,high,1,2,low,0.562
34,0,0.9925953190843976,0.0074046809156022,58,M,0,Graduate,Married,$80K - $120K,Blue,49,1696,1291,24,0,9.437953917961844,9.292841593487926,7.163946684342547,0.126632650933366,1,0,high,1,2,low,0.135
35,0,0.9868762032392352,0.0131237967607649,55,F,1,College,Single,Less than $40K,Blue,36,1914,1407,43,0,8.166500319155052,7.382124365737512,7.249925536717988,0.4343764516025845,1,1,high,1,1,medium,0.544
36,0,0.9500255614488128,0.0499744385511873,55,F,3,Graduate,Married,Less than $40K,Blue,36,2298,1877,37,0,8.01829613851552,6.6039438246004725,7.537962659768208,0.5636078092049601,1,1,high,1,2,low,0.757
37,1,0.0597269741709542,0.9402730258290456,42,F,4,High School,Married,Less than $40K,Gold,36,0,966,22,0,9.644328147017548,9.644328147017548,6.874198495453294,0.0,0,1,low,1,2,low,0.0
38,0,0.9696230211672634,0.0303769788327366,57,F,1,Graduate,Unknown,$40K - $60K,Blue,49,886,1464,28,0,8.208764045819667,7.932721027481948,7.289610521451167,0.2159175062224701,1,0,medium,1,2,low,0.241
39,1,0.1544709131170113,0.8455290868829887,66,F,0,Doctorate,Married,Unknown,Blue,56,605,704,16,1,8.972463821059907,8.892611378172106,6.558197802812269,0.0741793981742515,1,0,high,2,2,low,0.077
40,1,0.362676719302004,0.6373232806979959,45,M,3,Graduate,Single,$80K - $120K,Blue,41,578,1109,28,0,10.386746688084312,10.368761263333154,7.01211529430638,0.017839918128331,1,0,low,1,2,low,0.018
41,0,0.9962187806350404,0.0037812193649595,51,M,2,Unknown,Married,$40K - $60K,Blue,44,2204,1347,28,0,8.733271845008325,8.294549515143679,7.206377291472252,0.3038014543316642,1,0,high,1,0,low,0.355
42,1,0.537135387339996,0.462864612660004,50,F,1,College,Single,$40K - $60K,Silver,43,2517,1756,33,0,9.758750756069444,9.601571320056523,7.471363088187097,0.1354046370062029,1,0,medium,1,2,low,0.145
43,0,0.6735232360514146,0.3264767639485854,49,M,3,High School,Married,$60K - $80K,Blue,37,0,1756,32,0,8.27052509505507,8.27052509505507,7.471363088187097,0.0,0,0,high,1,1,low,0.0
44,0,0.6348422564333311,0.3651577435666688,38,F,4,Graduate,Single,Unknown,Blue,28,2055,1042,23,0,9.193295937366925,8.958797346140274,6.949856455000773,0.1897935716326556,1,0,low,1,2,low,0.209
45,0,0.6909960704268849,0.309003929573115,49,M,4,Uneducated,Single,$80K - $120K,Blue,30,0,1444,28,0,10.44920723527944,10.44920723527944,7.275864600546533,0.0,0,0,medium,1,2,low,0.0
46,0,0.9949450474081376,0.0050549525918625,56,M,2,Doctorate,Married,$60K - $80K,Blue,45,1430,1741,27,0,7.7336835707759,6.74993119378857,7.462789157412448,0.4861230111256189,1,0,high,1,0,low,0.626
47,0,0.9869180087186348,0.0130819912813653,59,M,1,Doctorate,Married,$40K - $60K,Blue,52,2020,1719,27,0,7.8434564043761155,6.270988431858299,7.450079569807499,0.5838901946229959,1,0,medium,1,2,low,0.793
48,0,0.9864748635259462,0.0135251364740538,46,M,3,High School,Married,$80K - $120K,Blue,40,1435,1217,27,0,9.876064966958156,9.79945948211208,7.1049654482698426,0.0713899960866729,1,0,high,1,2,low,0.074
49,0,0.9736202577618074,0.0263797422381925,52,M,1,College,Single,$80K - $120K,Blue,40,1227,1140,40,0,8.465057436995709,8.165932137321585,7.039660349862076,0.2303177550622101,1,0,high,1,1,low,0.259
50,0,0.944988729068136,0.0550112709318639,52,F,3,Unknown,Married,Less than $40K,Blue,41,1549,1878,30,0,7.872073979866873,6.97914527506881,7.538494999413465,0.4643627493556498,1,0,high,1,2,low,0.591
51,1,0.0407529282963656,0.9592470717036344,54,F,1,Graduate,Married,Less than $40K,Blue,40,808,705,19,1,7.271912163268625,6.44778118537358,6.559615237493242,0.4459670514174942,1,0,low,1,1,low,0.562
52,0,0.8249299858188502,0.1750700141811497,66,F,0,High School,Married,Less than $40K,Blue,54,2179,1946,38,0,8.06211758275474,6.900730664045173,7.5740450053722,0.5229518035638313,1,0,medium,2,2,low,0.687
53,0,0.9762655778844312,0.0237344221155688,49,M,2,Unknown,Married,$120K +,Blue,36,2517,1414,35,0,9.89161737996564,9.7553934942914,7.254884810077338,0.1195592350576392,1,1,high,1,0,low,0.127
54,1,0.0193331129104311,0.9806668870895688,56,M,2,Graduate,Married,$120K +,Blue,36,0,602,15,1,9.665864679957084,9.665864679957084,6.401917196727186,0.0,0,1,low,1,2,low,0.0
55,0,0.923054042868558,0.0769459571314421,49,F,4,Graduate,Unknown,Less than $40K,Blue,36,2200,1052,32,0,8.101374671228582,7.002155954403621,6.959398512133975,0.511025603768657,1,1,high,2,2,low,0.667
56,0,0.8399917964440275,0.1600082035559724,49,F,3,Graduate,Single,Less than $40K,Blue,36,2363,1295,40,0,7.938445551164788,6.0867747269123065,7.16703787691222,0.6113946786876863,1,1,low,1,0,low,0.843
57,0,0.995514861223188,0.0044851387768118,56,M,2,Uneducated,Married,$40K - $60K,Blue,50,1880,1424,29,0,8.402679804627477,7.855157005881344,7.261927092702751,0.3520643313810491,1,0,high,1,2,low,0.422
58,0,0.9765600782403968,0.0234399217596032,44,F,5,Graduate,Married,Unknown,Blue,35,978,1359,25,0,8.744169388750624,8.574707097616844,7.215239978730097,0.1449657702501857,1,0,high,1,2,low,0.156
59,0,0.983443820579576,0.016556179420424,42,M,2,High School,Single,$60K - $80K,Blue,34,1753,1168,27,0,8.112827478751374,7.367708572374371,7.063903961472068,0.4219944100593749,1,0,high,2,2,low,0.525
60,0,0.9788539900252294,0.0211460099747705,55,M,3,Unknown,Married,$80K - $120K,Blue,47,2016,1097,33,0,8.142354276849835,7.259116128097101,7.001245622069476,0.461845441544272,1,0,high,1,2,low,0.587
61,1,0.0166144897849228,0.9833855102150773,48,M,2,Graduate,Married,$60K - $80K,Silver,35,0,691,15,1,10.44920723527944,10.44920723527944,6.539585955617669,0.0,0,0,low,2,3,low,0.0
62,0,0.9936044115575366,0.0063955884424633,39,M,1,High School,Divorced,$60K - $80K,Blue,33,1251,1316,28,0,8.687273461787838,8.450198322591959,7.183111701743281,0.1914464645709552,1,0,high,1,2,low,0.211
63,0,0.6263113969568184,0.3736886030431816,44,M,4,Post-Graduate,Single,$120K +,Blue,32,2102,1276,26,0,10.084057576291276,9.992230762370516,7.152268856032539,0.0843411484337508,1,0,low,2,2,low,0.088
64,0,0.9918543353000768,0.0081456646999231,53,M,2,High School,Single,$120K +,Blue,44,1634,1289,23,0,9.597980895171796,9.48044384215367,7.162397497355718,0.1052605106574929,1,0,high,1,2,low,0.111
65,0,0.9632654543350816,0.0367345456649183,51,M,4,Uneducated,Single,$80K - $120K,Silver,38,1515,1293,32,0,10.44920723527944,10.40432344467275,7.165493475060845,0.0430594894604469,1,0,high,1,3,low,0.044
66,0,0.9944715153930404,0.0055284846069596,57,M,2,College,Married,$60K - $80K,Blue,52,1817,1353,35,0,8.792549614177382,8.469682208745185,7.21081845347222,0.2437301849225981,1,0,high,1,2,low,0.276
67,0,0.9630945303577024,0.0369054696422976,44,F,2,Uneducated,Single,Less than $40K,Blue,20,1468,1132,28,0,7.642524134232902,6.424869023905388,7.0326242610280065,0.532978428407124,1,0,high,1,2,low,0.704
68,1,0.5612885570380054,0.4387114429619946,49,M,2,Graduate,Married,$60K - $80K,Blue,32,1107,1670,17,0,7.431299675155903,6.364750756851911,7.421177528595393,0.504405055963068,1,0,low,1,2,low,0.656
69,1,0.2912257888658395,0.7087742111341605,50,M,2,Doctorate,Married,$80K - $120K,Blue,38,1330,837,15,0,10.138599199626192,10.08460004537341,6.731018100482083,0.0516432331518384,1,0,high,1,2,low,0.053
70,0,0.9519475407124862,0.0480524592875137,51,M,4,Graduate,Single,$120K +,Blue,42,1763,1550,41,0,10.44920723527944,10.396780371009813,7.346655163176539,0.049742091894814,1,0,medium,1,2,medium,0.051
71,0,0.9860077605894284,0.0139922394105714,55,F,2,Graduate,Married,Less than $40K,Blue,42,1034,1540,36,0,7.703910209616312,7.075808863978387,7.340186835320115,0.3832194991608447,1,0,high,1,2,low,0.467
72,0,0.9964301847490056,0.0035698152509942,54,M,1,Graduate,Unknown,$60K - $80K,Blue,43,2030,1256,21,0,7.976251943745623,6.78105762593618,7.136483208590247,0.5294510878891555,1,0,high,1,2,low,0.698
73,0,0.986499326115524,0.0135006738844759,42,M,5,Uneducated,Married,$80K - $120K,Blue,37,1528,1394,35,0,10.03950335645357,9.970491781316602,7.240649694255466,0.0648509723196163,1,0,high,1,2,low,0.067
74,0,0.9833551238385172,0.0166448761614827,44,M,1,College,Single,$60K - $80K,Blue,35,1932,1341,24,0,10.098766465702033,10.01596766362013,7.201916317531627,0.0760346862759976,1,0,medium,1,2,low,0.079
75,0,0.9802885220371668,0.0197114779628333,53,M,2,Graduate,Single,$80K - $120K,Blue,36,1515,1289,33,0,8.57035473953047,8.231642179973411,7.162397497355718,0.2523139286139896,1,1,high,1,2,low,0.287
76,0,0.7491372336841398,0.2508627663158602,44,F,4,Graduate,Single,Less than $40K,Blue,36,2517,1112,23,0,8.853808274977197,8.40827078419205,7.014814351275545,0.3074846997479606,1,1,high,2,2,low,0.36
77,0,0.9514445250466924,0.0485554749533075,37,F,3,Uneducated,Single,Less than $40K,Blue,29,1801,2339,57,0,8.85922139360813,8.563695025067657,7.757906208351747,0.2279320680460069,1,0,high,2,2,medium,0.256
78,0,0.9953612649326448,0.0046387350673553,49,M,3,Graduate,Divorced,$60K - $80K,Blue,30,1823,1468,23,0,7.838737559599282,6.570882962339584,7.292337176173877,0.5417427264007122,1,0,high,1,2,low,0.719
79,0,0.9819405143234312,0.0180594856765689,47,M,2,Graduate,Married,$80K - $120K,Blue,38,1899,1334,35,0,10.271769869516575,10.203814342520989,7.19668657083435,0.0639133257436528,1,0,high,1,2,low,0.066
80,0,0.9944982967493624,0.0055017032506376,47,M,3,Graduate,Married,$60K - $80K,Blue,37,1695,1457,41,0,9.055789612127583,8.835355971121606,7.284820912568604,0.1806534996932576,1,0,high,2,0,medium,0.198
81,0,0.981570776051928,0.0184292239480721,44,M,1,Unknown,Unknown,$120K +,Blue,36,1533,1603,29,0,10.44920723527944,10.403777874386735,7.38025578842646,0.0430594894604469,1,1,high,1,2,low,0.044
82,1,0.0179596901358635,0.9820403098641364,55,F,4,Unknown,Married,$40K - $60K,Blue,45,0,615,12,1,7.677400430514807,7.677400430514807,6.423246963533519,0.0,0,0,low,2,2,low,0.0
83,0,0.6999621971854477,0.3000378028145523,59,F,1,Graduate,Married,Unknown,Blue,52,1417,1068,20,0,9.223651386035854,9.073030421011577,6.974478911025045,0.1310282624064041,1,0,low,1,2,low,0.14
84,0,0.9699575246290044,0.0300424753709957,53,M,1,Graduate,Divorced,$80K - $120K,Blue,35,1219,1590,27,0,10.44920723527944,10.413252614104795,7.372118028337787,0.0344014267173324,1,0,high,2,2,low,0.035
85,0,0.9975691588358384,0.0024308411641616,52,M,2,Graduate,Married,$60K - $80K,Blue,47,1910,1531,35,0,8.034631032923107,7.069874128458572,7.334329350300536,0.4818086746954981,1,0,high,1,0,low,0.619
86,0,0.9900561043625242,0.0099438956374757,53,M,2,High School,Single,$120K +,Blue,35,2056,1212,31,0,9.85434982797458,9.740085880594684,7.10085190894405,0.102556588325092,1,0,high,1,1,low,0.108
87,0,0.8645708105505593,0.1354291894494407,43,F,3,Uneducated,Single,Less than $40K,Blue,35,0,1237,32,0,8.300776960851454,8.300776960851454,7.121252453244542,0.0,0,0,high,1,2,low,0.0
88,0,0.9878805219164344,0.0121194780835654,44,M,3,High School,Single,$60K - $80K,Blue,31,837,1413,14,0,9.45383541953829,9.38597294061934,7.254177846456518,0.0639133257436528,1,0,high,1,1,low,0.066
89,0,0.9079709948831578,0.0920290051168421,57,M,2,Unknown,Married,$120K +,Blue,45,0,1516,29,0,8.569216219483389,8.569216219483389,7.324489979348532,0.0,0,0,high,1,2,low,0.0
90,0,0.7181743440996181,0.2818256559003819,51,F,2,High School,Single,Less than $40K,Blue,36,0,1276,21,0,9.20341645690336,9.20341645690336,7.152268856032539,0.0,0,1,medium,1,2,low,0.0
91,0,0.9927194422750368,0.0072805577249632,49,M,4,High School,Single,$80K - $120K,Blue,38,1953,1564,35,0,10.351469218580617,10.287047825256243,7.355641102974253,0.060153922819747,1,0,high,1,0,low,0.062
92,0,0.8154139711941579,0.184586028805842,45,M,1,Graduate,Single,$40K - $60K,Blue,36,0,1465,34,0,8.79133399330135,8.79133399330135,7.290292882446597,0.0,0,1,high,2,2,low,0.0
93,0,0.9833114400625248,0.0166885599374752,53,M,0,Graduate,Single,$80K - $120K,Blue,42,2037,1286,29,0,7.887959336599945,6.4425401664681985,7.160069207596127,0.5681506903852601,1,0,high,2,1,low,0.765
94,0,0.9401261925546998,0.0598738074453002,45,F,3,Unknown,Married,Unknown,Blue,28,2440,1312,20,0,7.8383433155571165,4.564348191467836,7.180069874302796,0.674473915294324,1,0,high,1,2,low,0.963
95,0,0.9488989665313654,0.0511010334686346,64,M,1,Graduate,Married,Less than $40K,Blue,52,895,1673,32,0,7.444248649496705,6.703188113240863,7.422971251049421,0.4213384572644545,1,0,high,2,2,low,0.524
96,0,0.985932010303427,0.014067989696573,45,M,3,Graduate,Married,$40K - $60K,Blue,35,1200,1313,30,0,8.14757773620177,7.720905251936779,7.1808311990445555,0.2978798974282269,1,0,high,2,2,low,0.347
97,0,0.9881653884453662,0.0118346115546338,53,M,3,Doctorate,Married,$40K - $60K,Blue,35,1706,1609,42,0,8.240121298076472,7.642044402873258,7.383989457978509,0.371563556432483,1,0,high,1,2,medium,0.45
98,0,0.989975297783464,0.0100247022165359,56,M,3,College,Married,$120K +,Blue,50,2250,1158,19,0,9.178849704884811,8.914626127827137,7.055312843339752,0.208638865111328,1,0,medium,1,0,low,0.232
99,1,0.0571267630402175,0.9428732369597824,47,M,2,Unknown,Married,$80K - $120K,Blue,37,1628,836,18,1,8.60337088765729,8.248529124800218,6.729824070489475,0.2615947376884625,1,0,low,1,2,low,0.299
100,0,0.9944217988515778,0.0055782011484222,49,F,3,College,Single,Unknown,Blue,43,1960,1289,22,0,10.044683249202905,9.955747879197212,7.162397497355718,0.0815799869924228,1,0,high,2,0,low,0.085
101,0,0.9893424254392456,0.0106575745607543,41,F,3,Unknown,Married,Unknown,Silver,34,2053,1487,26,0,10.44920723527944,10.387887062065596,7.305188215393037,0.0573250666192694,1,0,high,1,2,low,0.059
102,0,0.9900292213711768,0.009970778628823,53,M,3,Graduate,Married,$120K +,Blue,34,1264,1259,33,0,7.9865049385539955,7.424761761823209,7.138866999945524,0.3576744442718159,1,0,high,1,2,low,0.43
103,0,0.9843081449505708,0.0156918550494291,44,F,2,Graduate,Single,Less than $40K,Blue,32,1879,1298,15,0,8.016977746762262,7.050122520269059,7.1693500166706,0.4824261492442927,1,0,medium,1,2,low,0.62
104,0,0.818918952185693,0.181081047814307,44,M,3,High School,Unknown,$60K - $80K,Blue,25,0,1226,34,0,7.529943370601589,7.529943370601589,7.112327444710911,0.0,0,0,medium,1,0,low,0.0
105,1,0.4404743057779187,0.5595256942220813,43,F,4,Post-Graduate,Married,Less than $40K,Blue,33,926,1566,37,0,9.031094081699155,8.913684824725294,7.356918242356021,0.1052605106574929,1,0,low,1,2,low,0.111
106,0,0.8329985907153661,0.1670014092846339,53,M,2,Post-Graduate,Single,$120K +,Blue,36,931,1022,21,0,10.44920723527944,10.421864592454954,6.930494765951626,0.0266419309464211,1,1,high,1,2,low,0.027
107,0,0.9698456893317218,0.0301543106682782,44,M,1,Uneducated,Married,$60K - $80K,Blue,36,2440,1235,30,0,9.57851889529833,9.39357817555449,7.119635638017636,0.1561486824899313,1,1,high,1,2,low,0.169
108,0,0.6216065558670474,0.3783934441329526,62,F,1,Unknown,Married,Less than $40K,Blue,56,0,1951,44,0,7.271912163268625,7.271912163268625,7.576609766973037,0.0,0,0,high,0,0,medium,0.0
109,0,0.9573156474999888,0.0426843525000112,54,M,4,Unknown,Divorced,$120K +,Blue,36,1960,1047,31,0,10.427979367065934,10.368227352106764,6.954638864880987,0.0563803334361076,1,1,high,1,2,low,0.058
110,0,0.9969055996209474,0.0030944003790526,57,M,4,Graduate,Married,$60K - $80K,Blue,39,1886,1342,32,0,9.043931533642278,8.791941988456118,7.202661196523238,0.2013068567050353,1,0,high,1,0,low,0.223
111,0,0.959369080397918,0.0406309196020821,42,M,3,Unknown,Married,$60K - $80K,Blue,36,865,1107,21,0,9.62172128051365,9.562685957753686,7.010311867307229,0.0554347068881005,1,1,high,1,2,low,0.057
112,0,0.9934038603461884,0.0065961396538114,42,M,4,High School,Divorced,$60K - $80K,Blue,36,1674,1251,35,0,8.090708716083997,7.371489295214277,7.132497551660044,0.4140944348062189,1,1,high,1,2,low,0.513
113,0,0.7719820832977855,0.2280179167022145,54,F,0,Uneducated,Married,Less than $40K,Blue,36,706,1305,24,0,7.309881485824787,6.670766320845874,7.174724309836376,0.3873011374804932,1,1,low,1,2,low,0.473
114,0,0.99278001124784,0.0072199887521599,48,M,3,Graduate,Single,$80K - $120K,Blue,35,1294,1388,37,0,9.514289416891836,9.413934064045677,7.236339342754344,0.0907543632684641,1,0,high,1,0,low,0.095
115,0,0.9575045024471652,0.0424954975528348,49,M,1,Graduate,Single,$80K - $120K,Blue,36,895,1235,18,0,9.846229133695848,9.797682493639153,7.119635638017636,0.0459289318883998,1,1,high,1,2,low,0.047
116,0,0.9277101813983906,0.0722898186016094,52,M,3,High School,Unknown,$80K - $120K,Blue,48,1273,2089,36,0,9.390743422947509,9.27837278236801,7.644919344958857,0.100749903100143,1,0,medium,1,0,low,0.106
117,0,0.9441361025545304,0.0558638974454695,50,M,3,High School,Single,$80K - $120K,Blue,39,1559,1626,25,0,9.206834232646894,9.036701015565065,7.394493107219038,0.1449657702501857,1,0,high,1,3,low,0.156
118,0,0.9629674848212746,0.0370325151787253,49,M,1,Doctorate,Married,$60K - $80K,Blue,36,1196,1111,24,0,10.092453652048752,10.041683051287528,7.013915474810528,0.048790164169432,1,1,high,2,2,low,0.05
119,0,0.9745794382590588,0.0254205617409412,53,F,2,High School,Married,Less than $40K,Blue,44,1901,1553,38,0,8.587278798982926,8.149601735736155,7.348587530927593,0.3038014543316642,1,0,medium,1,2,low,0.355
120,0,0.9128543249502968,0.0871456750497031,50,M,2,Graduate,Single,$120K +,Blue,36,1023,1064,13,0,10.44920723527944,10.419121597294424,6.970730078143525,0.0295588022415444,1,1,medium,1,2,low,0.03
121,0,0.9984266499912988,0.0015733500087011,55,F,1,Doctorate,Married,Less than $40K,Blue,36,1951,1243,29,0,8.063062911326792,7.1098794630722715,7.126087273299125,0.4793349566746198,1,1,high,1,0,low,0.615
122,0,0.9821447948509486,0.0178552051490513,53,M,1,High School,Married,$80K - $120K,Blue,47,1836,1659,38,0,9.414341877762029,9.252153874789594,7.414572881350589,0.1397619423751586,1,0,medium,1,2,low,0.15
123,0,0.9846973549912812,0.0153026450087188,47,F,3,High School,Single,$40K - $60K,Blue,41,1540,1594,47,0,8.239857411018601,7.718240951959316,7.374629015218945,0.341459778132252,1,0,high,1,2,medium,0.407
124,0,0.6282926137257656,0.3717073862742344,55,M,2,College,Single,$120K +,Silver,42,1527,1268,42,0,10.44920723527944,10.403959764222629,7.1459844677143876,0.0430594894604469,1,0,low,1,2,medium,0.044
125,0,0.8990120238287955,0.1009879761712044,47,M,3,Graduate,Single,$60K - $80K,Blue,36,0,1304,24,0,7.981733286691885,7.981733286691885,7.173958319756794,0.0,0,1,high,1,2,low,0.0
126,0,0.9406360216643272,0.0593639783356728,58,M,4,Graduate,Single,$120K +,Blue,52,0,1368,30,0,10.37633089597424,10.37633089597424,7.221835825288449,0.0,0,0,high,1,0,low,0.0
